NAME,us,Year,Topic,Geo,Variable,Value,Display
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_004MA,,B01001_004MA
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_004MA,,B01001_004MA
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_004MA,,B01001_004MA
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_004MA,,B01001_004MA
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_004MA,,B01001_004MA
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_004MA,,B01001_004MA
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_005E,,B01001_005E
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_005E,,B01001_005E
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_005E,,B01001_005E
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_005E,,B01001_005E
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_005E,,B01001_005E
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_005E,,B01001_005E
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_005EA,,B01001_005EA
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_005EA,,B01001_005EA
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_005EA,,B01001_005EA
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_005EA,,B01001_005EA
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_005EA,,B01001_005EA
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_005EA,,B01001_005EA
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_005M,,B01001_005M
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_005M,,B01001_005M
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_005M,,B01001_005M
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_005M,,B01001_005M
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_005M,,B01001_005M
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_005M,,B01001_005M
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_005MA,,B01001_005MA
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_005MA,,B01001_005MA
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_005MA,,B01001_005MA
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_005MA,,B01001_005MA
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_005MA,,B01001_005MA
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_005MA,,B01001_005MA
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_006E,,B01001_006E
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_006E,,B01001_006E
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_006E,,B01001_006E
United States,1,2021,Hispanic/Latino Origin (full),US,B01001_006E,,B01001_006E
United States,1,2022,Hispanic/Latino Origin (full),US,B01001_006E,,B01001_006E
United States,1,2023,Hispanic/Latino Origin (full),US,B01001_006E,,B01001_006E
United States,1,2018,Hispanic/Latino Origin (full),US,B01001_006EA,,B01001_006EA
United States,1,2019,Hispanic/Latino Origin (full),US,B01001_006EA,,B01001_006EA
United States,1,2020,Hispanic/Latino Origin (full),US,B01001_006EA,,B01001_006EA
