NAME,us,Year,Topic,Geo,Variable,Value,Display
United States,1,2019,Sex by Age (full),US,B01001_006MA,,B01001_006MA
United States,1,2020,Sex by Age (full),US,B01001_006MA,,B01001_006MA
United States,1,2021,Sex by Age (full),US,B01001_006MA,,B01001_006MA
United States,1,2022,Sex by Age (full),US,B01001_006MA,,B01001_006MA
United States,1,2023,Sex by Age (full),US,B01001_006MA,,B01001_006MA
United States,1,2018,Sex by Age (full),US,B01001_007E,4409826.0,B01001_007E
United States,1,2019,Sex by Age (full),US,B01001_007E,4411135.0,B01001_007E
United States,1,2020,Sex by Age (full),US,B01001_007E,4400774.0,B01001_007E
United States,1,2021,Sex by Age (full),US,B01001_007E,4480682.0,B01001_007E
United States,1,2022,Sex by Age (full),US,B01001_007E,4618967.0,B01001_007E
United States,1,2023,Sex by Age (full),US,B01001_007E,4477565.0,B01001_007E
United States,1,2018,Sex by Age (full),US,B01001_007EA,,B01001_007EA
United States,1,2019,Sex by Age (full),US,B01001_007EA,,B01001_007EA
United States,1,2020,Sex by Age (full),US,B01001_007EA,,B01001_007EA
United States,1,2021,Sex by Age (full),US,B01001_007EA,,B01001_007EA
United States,1,2022,Sex by Age (full),US,B01001_007EA,,B01001_007EA
United States,1,2023,Sex by Age (full),US,B01001_007EA,,B01001_007EA
United States,1,2018,Sex by Age (full),US,B01001_007M,4846.0,B01001_007M
United States,1,2019,Sex by Age (full),US,B01001_007M,5291.0,B01001_007M
United States,1,2020,Sex by Age (full),US,B01001_007M,4354.0,B01001_007M
United States,1,2021,Sex by Age (full),US,B01001_007M,4766.0,B01001_007M
United States,1,2022,Sex by Age (full),US,B01001_007M,4552.0,B01001_007M
United States,1,2023,Sex by Age (full),US,B01001_007M,5380.0,B01001_007M
United States,1,2018,Sex by Age (full),US,B01001_007MA,,B01001_007MA
United States,1,2019,Sex by Age (full),US,B01001_007MA,,B01001_007MA
United States,1,2020,Sex by Age (full),US,B01001_007MA,,B01001_007MA
United States,1,2021,Sex by Age (full),US,B01001_007MA,,B01001_007MA
United States,1,2022,Sex by Age (full),US,B01001_007MA,,B01001_007MA
United States,1,2023,Sex by Age (full),US,B01001_007MA,,B01001_007MA
United States,1,2018,Sex by Age (full),US,B01001_008E,2376854.0,B01001_008E
United States,1,2019,Sex by Age (full),US,B01001_008E,2352092.0,B01001_008E
United States,1,2020,Sex by Age (full),US,B01001_008E,2310954.0,B01001_008E
United States,1,2021,Sex by Age (full),US,B01001_008E,2285182.0,B01001_008E
United States,1,2022,Sex by Age (full),US,B01001_008E,2348124.0,B01001_008E
United States,1,2023,Sex by Age (full),US,B01001_008E,2247227.0,B01001_008E
United States,1,2018,Sex by Age (full),US,B01001_008EA,,B01001_008EA
United States,1,2019,Sex by Age (full),US,B01001_008EA,,B01001_008EA
United States,1,2020,Sex by Age (full),US,B01001_008EA,,B01001_008EA
United States,1,2021,Sex by Age (full),US,B01001_008EA,,B01001_008EA
United States,1,2022,Sex by Age (full),US,B01001_008EA,,B01001_008EA
